timestamp_kst,station_id,station_name,water_level_m,fw_raw,longitude,latitude,agency
2023-07-14 02:50,3011665,청주시(미호강교),3.04,284.62,127.3505556,36.6230556,기후에너지환경부
2023-07-14 02:50,3011685,세종시(미호교),1.12,365.73,127.3163889,36.5825,기후에너지환경부
2023-07-14 03:00,3011635,청주시(팔결교),2.93,157.35,127.4755556,36.7141667,기후에너지환경부
2023-07-14 03:00,3011665,청주시(미호강교),3.06,288.22,127.3505556,36.6230556,기후에너지환경부
2023-07-14 03:00,3011685,세종시(미호교),1.14,372.59,127.3163889,36.5825,기후에너지환경부
2023-07-14 03:10,3011635,청주시(팔결교),2.93,157.35,127.4755556,36.7141667,기후에너지환경부
2023-07-14 03:10,3011665,청주시(미호강교),3.08,291.84,127.3505556,36.6230556,기후에너지환경부
2023-07-14 03:10,3011685,세종시(미호교),1.16,379.49,127.3163889,36.5825,기후에너지환경부
2023-07-14 03:20,3011635,청주시(팔결교),2.93,157.35,127.4755556,36.7141667,기후에너지환경부
2023-07-14 03:20,3011665,청주시(미호강교),3.09,293.66,127.3505556,36.6230556,기후에너지환경부
2023-07-14 03:20,3011685,세종시(미호교),1.18,386.44,127.3163889,36.5825,기후에너지환경부
2023-07-14 03:30,3011635,청주시(팔결교),2.94,158.29,127.4755556,36.7141667,기후에너지환경부
2023-07-14 03:30,3011665,청주시(미호강교),3.10,295.48,127.3505556,36.6230556,기후에너지환경부
2023-07-14 03:30,3011685,세종시(미호교),1.19,389.93,127.3163889,36.5825,기후에너지환경부
2023-07-14 03:40,3011635,청주시(팔결교),2.94,158.29,127.4755556,36.7141667,기후에너지환경부
2023-07-14 03:40,3011665,청주시(미호강교),3.13,300.95,127.3505556,36.6230556,기후에너지환경부
2023-07-14 03:40,3011685,세종시(미호교),1.21,396.95,127.3163889,36.5825,기후에너지환경부
2023-07-14 03:50,3011635,청주시(팔결교),2.95,159.23,127.4755556,36.7141667,기후에너지환경부
2023-07-14 03:50,3011665,청주시(미호강교),3.16,306.46,127.3505556,36.6230556,기후에너지환경부
2023-07-14 03:50,3011685,세종시(미호교),1.23,404.00,127.3163889,36.5825,기후에너지환경부
2023-07-14 04:00,3011635,청주시(팔결교),3.00,163.96,127.4755556,36.7141667,기후에너지환경부
2023-07-14 04:00,3011665,청주시(미호강교),3.18,310.15,127.3505556,36.6230556,기후에너지환경부
2023-07-14 04:00,3011685,세종시(미호교),1.25,411.10,127.3163889,36.5825,기후에너지환경부
2023-07-14 04:10,3011635,청주시(팔결교),2.98,162.06,127.4755556,36.7141667,기후에너지환경부
2023-07-14 04:10,3011665,청주시(미호강교),3.22,317.57,127.3505556,36.6230556,기후에너지환경부
